pool_number,replicate,technical_triplicate,dye_volume_ml,measured_absorbance,calculated_absorbance
1,1,1,1,0.1329,0.1760991379
1,1,2,1,0.1278,0.1673060345
1,1,3,1,0.1298,0.1707543103
1,2,1,1,0.1253,0.1629956897
1,2,2,1,0.1248,0.1621336207
1,2,3,1,0.1255,0.1633405172
1,3,1,1,NA,NA
1,3,2,1,0.1201,0.1540301724
1,3,3,1,0.1254,0.1631681034
2,1,1,3,0.131,0.1728232759
2,1,2,3,0.1361,0.1816163793
2,1,3,3,0.1253,0.1629956897
2,2,1,3,0.1322,0.1748922414
2,2,2,3,0.1345,0.1788577586
2,2,3,3,0.1394,0.1873060345
2,3,1,3,0.1298,0.1707543103
2,3,2,3,0.131,0.1728232759
2,3,3,3,0.1365,0.1823060345
3,1,1,3,0.081,0.08661637931
3,1,2,3,0.0847,0.09299568966
3,1,3,3,0.0812,0.0869612069
3,2,1,3,0.0836,0.09109913793
3,2,2,3,0.0854,0.09420258621
3,2,3,3,0.0871,0.09713362069
3,3,1,3,0.0851,0.09368534483
3,3,2,3,0.0862,0.09558189655
3,3,3,3,0.0879,0.09851293103
4,1,1,6,0.1295,0.170237069
4,1,2,6,0.1323,0.1750646552
4,1,3,6,0.1339,0.1778232759
4,2,1,6,0.109,0.1348922414
4,2,2,6,0.1054,0.1286853448
4,2,3,6,0.1062,0.1300646552
4,3,1,6,0.1692,0.2386853448
4,3,2,6,0.1653,0.2319612069
4,3,3,6,0.17,0.2400646552
5,1,1,3,0.1451,0.1971336207
5,1,2,3,0.1581,0.2195474138
5,1,3,3,0.1526,0.2100646552
5,2,1,3,0.1558,0.2155818966
5,2,2,3,0.1579,0.2192025862
5,2,3,3,0.161,0.2245474138
5,3,1,3,0.1658,0.2328232759
5,3,2,3,0.1615,0.2254094828
5,3,3,3,0.1682,0.2369612069
6,1,1,3,0.093,0.1073060345
6,1,2,3,0.0911,0.1040301724
6,1,3,3,0.0903,0.1026508621
6,2,1,3,0.1258,0.1638577586
6,2,2,3,0.129,0.169375
6,2,3,3,0.1284,0.1683405172
6,3,1,3,0.0944,0.1097198276
6,3,2,3,0.104,0.1262715517
6,3,3,3,0.102,0.1228232759
7,1,1,6,0.154,0.2124784483
7,1,2,6,0.1566,0.2169612069
7,1,3,6,0.1575,0.218512931
7,2,1,6,NA,NA
7,2,2,6,0.1543,0.2129956897
7,2,3,6,0.1556,0.215237069
7,3,1,6,0.1615,0.2254094828
7,3,2,6,0.1667,0.234375
7,3,3,6,0.1659,0.2329956897
8,1,1,6,0.1553,0.2147198276
8,1,2,6,0.1611,0.2247198276
8,1,3,6,0.1591,0.2212715517
8,2,1,6,0.1602,0.2231681034
8,2,2,6,0.1563,0.2164439655
8,2,3,6,0.1571,0.2178232759
8,3,1,6,0.1451,0.1971336207
8,3,2,6,0.14,0.1883405172
8,3,3,6,0.1384,0.1855818966
9,1,1,6,0.1471,0.1928017241
9,1,2,6,0.1404,0.18125
9,1,3,6,0.1454,0.1898706897
9,2,1,6,0.1384,0.1778017241
9,2,2,6,0.1413,0.1828017241
9,2,3,6,0.1399,0.180387931
9,3,1,6,0.1207,0.1472844828
9,3,2,6,0.1173,0.1414224138
9,3,3,6,NA,NA
10,1,1,3,0.0736,0.06607758621
10,1,2,3,0.0793,0.07590517241
10,1,3,3,0.0782,0.07400862069
10,2,1,3,0.0785,0.07452586207
10,2,2,3,0.0799,0.07693965517
10,2,3,3,0.0816,0.07987068966
10,3,1,3,0.0811,0.07900862069
10,3,2,3,0.0783,0.07418103448
10,3,3,3,0.0812,0.07918103448
11,1,1,6,0.0953,0.1034913793
11,1,2,6,0.0967,0.1059051724
11,1,3,6,0.099,0.1098706897
11,2,1,6,0.0837,0.08349137931
11,2,2,6,0.0906,0.09538793103
11,2,3,6,0.0908,0.09573275862
11,3,1,6,0.122,0.1495258621
11,3,2,6,0.1229,0.1510775862
11,3,3,6,0.1269,0.1579741379
12,1,1,1,0.1355,0.1728017241
12,1,2,1,0.1299,0.1631465517
12,1,3,1,0.1292,0.1619396552
12,2,1,1,NA,NA
12,2,2,1,0.1488,0.1957327586
12,2,3,1,0.1438,0.187112069
12,3,1,1,0.1365,0.1745258621
12,3,2,1,0.1271,0.1583189655
12,3,3,1,0.1339,0.1700431034
13,1,1,3,0.1547,0.2059051724
13,1,2,3,NA,NA
13,1,3,3,0.162,0.2184913793
13,2,1,3,0.1564,0.2088362069
13,2,2,3,0.1618,0.2181465517
13,2,3,3,0.1622,0.2188362069
13,3,1,3,0.1621,0.2186637931
13,3,2,3,0.1596,0.2143534483
13,3,3,3,0.1648,0.2233189655
14,1,1,3,0.0693,0.0586637931
14,1,2,3,0.0723,0.0638362069
14,1,3,3,0.069,0.05814655172
14,2,1,3,0.072,0.06331896552
14,2,2,3,0.0781,0.0738362069
14,2,3,3,0.0786,0.07469827586
14,3,1,3,NA,NA
14,3,2,3,0.0889,0.09245689655
14,3,3,3,0.0888,0.09228448276
15,1,1,6,0.1279,0.1596982759
15,1,2,6,0.1281,0.1600431034
15,1,3,6,0.1178,0.1422844828
15,2,1,6,0.1128,0.1336637931
15,2,2,6,0.1149,0.1372844828
15,2,3,6,0.1091,0.1272844828
15,3,1,6,0.1335,0.1693534483
15,3,2,6,NA,NA
15,3,3,6,0.1374,0.1760775862
16,1,1,3,0.1554,0.2193534483
16,1,2,3,0.1529,0.2150431034
16,1,3,3,0.1588,0.2252155172
16,2,1,3,0.1108,0.1424568966
16,2,2,3,0.108,0.1376293103
16,2,3,3,0.1138,0.1476293103
16,3,1,3,0.1455,0.2022844828
16,3,2,3,0.1454,0.202112069
16,3,3,3,0.1452,0.2017672414
17,1,1,9,0.1068,0.1355603448
17,1,2,9,0.1036,0.1300431034
17,1,3,9,0.0988,0.1217672414
17,2,1,9,0.1001,0.1240086207
17,2,2,9,0.0995,0.1229741379
17,2,3,9,0.1013,0.1260775862
17,3,1,9,0.0958,0.1165948276
17,3,2,9,0.0987,0.1215948276
17,3,3,9,0.1038,0.130387931
18,1,1,3,0.1118,0.1441810345
18,1,2,3,0.1128,0.1459051724
18,1,3,3,0.1137,0.1474568966
18,2,1,3,0.0988,0.1217672414
18,2,2,3,0.1008,0.1252155172
18,2,3,3,0.0966,0.1179741379
18,3,1,3,0.1141,0.1481465517
18,3,2,3,0.1146,0.1490086207
18,3,3,3,0.1219,0.1615948276
19,1,1,9,0.1495,0.2091810345
19,1,2,9,0.1516,0.2128017241
19,1,3,9,0.1534,0.2159051724
19,2,1,9,0.1581,0.2240086207
19,2,2,9,0.156,0.220387931
19,2,3,9,0.1535,0.2160775862
19,3,1,9,0.1496,0.2093534483
19,3,2,9,0.1492,0.2086637931
19,3,3,9,0.159,0.2255603448
20,1,1,6,0.1232,0.1638362069
20,1,2,6,0.1319,0.1788362069
20,1,3,6,0.1262,0.1690086207
20,2,1,6,0.122,0.1617672414
20,2,2,6,0.1171,0.1533189655
20,2,3,6,0.1237,0.1646982759
20,3,1,6,0.1354,0.1848706897
20,3,2,6,0.1314,0.1779741379
20,3,3,6,0.1412,0.1948706897
21,1,1,6,0.0948,0.1148706897
21,1,2,6,0.0917,0.1095258621
21,1,3,6,0.0964,0.1176293103
21,2,1,6,0.1753,0.2536637931
21,2,2,6,0.1734,0.250387931
21,2,3,6,0.1779,0.2581465517
21,3,1,6,0.174,0.2514224138
21,3,2,6,0.1688,0.2424568966
21,3,3,6,0.1794,0.2607327586
22,1,1,12,0.1108,0.1424568966
22,1,2,12,0.1115,0.1436637931
22,1,3,12,0.115,0.1496982759
22,2,1,12,0.1366,0.1869396552
22,2,2,12,0.1343,0.1829741379
22,2,3,12,0.1339,0.1822844828
22,3,1,12,0.1196,0.1576293103
22,3,2,12,0.117,0.1531465517
22,3,3,12,0.1153,0.1502155172
23,1,1,15,0.1062,0.1345258621
23,1,2,15,0.1085,0.1384913793
23,1,3,15,0.1109,0.1426293103
23,2,1,15,0.1279,0.1719396552
23,2,2,15,0.1268,0.1700431034
23,2,3,15,0.1232,0.1638362069
23,3,1,15,0.095,0.1152155172
23,3,2,15,0.0977,0.1198706897
23,3,3,15,0.0969,0.1184913793
24,1,1,6,0.1854,0.271408046
24,1,2,6,0.1881,0.2760632184
24,1,3,6,0.1926,0.2838218391
24,2,1,6,0.1597,0.2270977012
24,2,2,6,0.1616,0.2303735632
24,2,3,6,0.1533,0.2160632184
24,3,1,6,0.1624,0.2317528736
24,3,2,6,0.1658,0.2376149425
24,3,3,6,0.1675,0.240545977
25,1,1,9,0.1248,0.1669252874
25,1,2,9,0.1231,0.1639942529
25,1,3,9,0.1177,0.1546839081
25,2,1,9,0.1178,0.1548563218
25,2,2,9,0.1191,0.1570977012
25,2,3,9,0.1244,0.1662356322
25,3,1,9,0.1199,0.1584770115
25,3,2,9,0.1155,0.1508908046
25,3,3,9,0.1124,0.145545977
26,1,1,6,0.1302,0.1762356322
26,1,2,6,0.1249,0.1670977012
26,1,3,6,0.1237,0.1650287356
26,2,1,6,0.1233,0.1643390805
26,2,2,6,0.1277,0.1719252874
26,2,3,6,0.1275,0.1715804598
26,3,1,6,0.1236,0.1648563218
26,3,2,6,0.1213,0.1608908046
26,3,3,6,0.1334,0.1817528736
28,1,1,6,0.1693,0.2436494253
28,1,2,6,0.1745,0.2526149425
28,1,3,6,0.1714,0.2472701149
28,2,1,6,0.1509,0.2119252874
28,2,2,6,0.1472,0.205545977
28,2,3,6,0.1516,0.2131321839
28,3,1,6,0.1466,0.2045114943
28,3,2,6,0.15,0.2103735632
28,3,3,6,0.1574,0.2231321839
29,1,1,6,0.1316,0.1786494253
29,1,2,6,0.1335,0.1819252874
29,1,3,6,0.1318,0.1789942529
29,2,1,6,0.2346,0.3562356322
29,2,2,6,0.2402,0.3658908046
29,2,3,6,0.2394,0.3645114943
29,3,1,6,0.1327,0.180545977
29,3,2,6,0.1321,0.1795114943
29,3,3,6,0.1336,0.1820977012
31,1,1,9,0.1478,0.2065804598
31,1,2,9,0.1599,0.2274425287
31,1,3,9,0.1562,0.2210632184
31,2,1,9,0.1655,0.2370977012
31,2,2,9,0.1624,0.2317528736
31,2,3,9,0.1615,0.2302011494
31,3,1,9,0.1773,0.2574425287
31,3,2,9,0.184,0.2689942529
31,3,3,9,0.1811,0.2639942529
32,1,1,12,0.092,0.1103735632
32,1,2,12,0.0905,0.1077873563
32,1,3,12,0.0926,0.111408046
32,2,1,12,0.1318,0.1789942529
32,2,2,12,0.1316,0.1786494253
32,2,3,12,0.1323,0.1798563218
32,3,1,12,0.1373,0.1884770115
32,3,2,12,0.1407,0.1943390805
32,3,3,12,0.1406,0.1941666667