sample,run_name,UniqueID,sample_ID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,Lignin,BIX,HIX,FI,M_to_C
Group001Sample0001,Chapuis,OCN_T1,20251105_sb_ocn_t1,0.019333578,0.061937982,0.01909493,0.029781005,0.094880248,0.058262644,0.0085292,0.015501081,0.059421806,0.853174595,0.827495762,1.982034394,0.641178178
Group001Sample0002,Chapuis,P16_T1,20251105_sb_p16_t1,0.055866083,0.067937795,0.05721198,0.068194158,0.099880471,0.068208744,0.028738275,0.048426456,0.09135185,0.799091026,1.405204671,1.815384871,0.838957203
Group001Sample0003,Chapuis,P17_T1,20251105_sb_p17_t1,0.095858596,0.106471084,0.100031164,0.121801763,0.176889397,0.03732868,0.045423119,0.079465982,0.114680974,0.952454014,1.55224345,1.817884941,0.821262036
Group001Sample0004,Chapuis,P18_T1,20251105_sb_p18_t1,0.068945669,0.074866209,0.074543559,0.083605,0.124787994,0.056040317,0.038094607,0.063081741,0.106886673,0.880931493,1.600329693,1.821497972,0.891616048
Group001Sample0005,Chapuis,P19_T1,20251105_sb_p19_t1,0.07888858,0.087403338,0.086513485,0.100105781,0.13516208,0.068610392,0.041484375,0.073743234,0.059800636,0.88445807,1.904647106,1.900532391,0.864220668
Group001Sample0006,Chapuis,P20_T1,20251105_sb_p20_t1,0.056267411,0.075721144,0.059821964,0.070361697,0.116731186,0.071171683,0.02939647,0.049903587,0.075850346,0.867962168,1.34704056,1.814614263,0.850206387
Group001Sample0007,Chapuis,P21_T1,20251105_sb_p21_t1,0.080232824,0.097439612,0.084378685,0.104496018,0.149133889,0.036238805,0.040507577,0.06948686,0.104607538,0.977083091,1.637965362,1.786943373,0.807482306
Group002Sample0001,Chapuis,P22_T1,20251105_sb_p22_t1,0.082277948,0.077793287,0.08888352,0.09898656,0.130535106,0.075550723,0.043181436,0.074379337,0.081631276,0.898580088,1.790982917,1.81572799,0.897935234
Group002Sample0002,Chapuis,P23_T1,20251105_sb_p23_t1,0.079505602,0.078536134,0.087512462,0.096685495,0.136221376,0.057048248,0.042715306,0.073049357,0.096175195,0.906257937,1.808644431,1.835764309,0.905125031
Group002Sample0003,Chapuis,P24_T1,20251105_sb_p24_t1,0.043557551,0.060780846,0.047524335,0.053415869,0.085053382,0.070717511,0.021640194,0.041448343,0.061228839,0.824033422,1.393079346,1.77014127,0.889704425
Group002Sample0004,Chapuis,P25_T1,20251105_sb_p25_t1,0.108190029,0.088870125,0.118325633,0.131355929,0.153289265,0.093043143,0.055892318,0.097548797,0.126218349,0.893845251,2.232696225,1.843115145,0.900801614
Group002Sample0005,Chapuis,P26_T1,20251105_sb_p26_t1,0.059655505,0.065447557,0.063003354,0.076550481,0.09238347,0.027366466,0.030897862,0.054301124,0.071129645,0.794181967,2.176401001,1.867589352,0.823030156
Group002Sample0006,Chapuis,P28_T1,20251105_sb_p28_t1,0.05165922,0.057791907,0.055124092,0.061473243,0.093811215,0.048434948,0.025023968,0.046605264,0.050525817,0.87426017,1.453449792,1.769170098,0.896716845
Group002Sample0007,Chapuis,P29_T1,20251105_sb_p29_t1,0.097669865,0.091535788,0.107145557,0.116610771,0.133889448,0.027538064,0.050159246,0.090599506,0.106040063,0.912020845,1.869596215,1.782499047,0.918830712
Group003Sample0001,Chapuis,P31_T1,20251105_sb_p31_t1,0.065637185,0.091012712,0.066488886,0.083030272,0.133408786,0.055522144,0.036213499,0.05615848,0.085431227,0.942760995,1.505174365,1.688161361,0.800778857
Group003Sample0002,Chapuis,P32_T1,20251105_sb_p32_t1,0.057394335,0.068670206,0.062041746,0.070144325,0.109960326,0.084766313,0.029797183,0.05223625,0.124049119,0.849651253,1.707470736,1.883991882,0.884487026
Group003Sample0003,Chapuis,OCN_T3,20251105_sb_ocn_t3,0.018733445,0.049081211,0.018934962,0.023091824,0.080873676,0.06693486,0.008172912,0.015966966,0.033468637,0.940023778,0.56964451,1.836771078,0.819985559
Group003Sample0004,Chapuis,P16_T3,20251105_sb_p16_t3,0.063410761,0.060901635,0.064207969,0.07104155,0.09256988,0.042886948,0.032780521,0.05459989,0.049112269,0.856231718,1.319327353,1.770175949,0.903808671
Group003Sample0005,Chapuis,P17_T3,20251105_sb_p17_t3,0.101013874,0.091621696,0.108083919,0.1233386,0.140455827,0.07893162,0.050783026,0.088108725,0.092415447,0.953174732,1.666229951,1.796023363,0.876318677
Group003Sample0006,Chapuis,P18_T3,20251105_sb_p18_t3,0.077688491,0.07823339,0.083327017,0.091060203,0.150834819,0.080497972,0.04013523,0.068802928,0.123047673,0.900616399,1.379809717,1.826471144,0.915076125
Group003Sample0007,Chapuis,P19_T3,20251105_sb_p19_t3,0.081689192,0.072302544,0.091520735,0.096374491,0.124536917,0.023888603,0.042712795,0.078033462,0.121700773,0.937354582,1.731673254,1.784765871,0.94963651
Group004Sample0001,Chapuis,P20_T3,20251105_sb_p20_t3,0.069266933,0.081941468,0.076330445,0.078546111,0.13921699,0.084233525,0.039019019,0.0671875,0.127378865,0.913188995,1.338148521,1.763031174,0.971791521
Group004Sample0002,Chapuis,P21_T3,20251105_sb_p21_t3,0.086694548,0.092625616,0.091026532,0.104514057,0.139726988,0.088129144,0.043445507,0.076904655,0.078847919,0.966810411,1.493631598,1.725435257,0.870950132
Group004Sample0003,Chapuis,P22_T3,20251105_sb_p22_t3,0.094322327,0.101383197,0.104572942,0.10770903,0.141442356,0.074806371,0.049586144,0.085494604,0.119126403,0.935772963,1.584882855,1.798269426,0.970883699
Group004Sample0004,Chapuis,P23_T3,20251105_sb_p23_t3,0.085805683,0.077744872,0.096241976,0.097793158,0.12921128,0.034691222,0.046752212,0.081815858,0.120612108,0.923765535,1.71416041,1.769211725,0.98413813
Group004Sample0005,Chapuis,P24_T3,20251105_sb_p24_t3,0.05473461,0.06015313,0.060558814,0.061567325,0.089923337,0.046986274,0.027330821,0.052914067,0.085997484,0.907598701,1.277251624,1.751018805,0.983619377
Group004Sample0006,Chapuis,P25_T3,20251105_sb_p25_t3,0.116083419,0.097429327,0.128342986,0.132935306,0.164762141,0.095827159,0.060906229,0.107515063,0.136122764,0.922143555,1.934449277,1.764502361,0.965454475
Group004Sample0007,Chapuis,P26_T3,20251105_sb_p26_t3,0.066178181,0.079092224,0.073285099,0.07684381,0.103923602,0.063645482,0.033976349,0.062032541,0.071957204,0.878365568,1.453488863,1.789735578,0.953689042
Group005Sample0001,Chapuis,P28_T3,20251105_sb_p28_t3,0.06245645,0.068367239,0.069913474,0.071389846,0.108483117,0,0.032079851,0.059621026,0.09384626,0.911876842,1.44996042,1.767524089,0.97931959
Group005Sample0002,Chapuis,P29_T3,20251105_sb_p29_t3,0.10223514,0.0945074,0.11533192,0.118723136,0.149874694,0.070331606,0.053596547,0.097872947,0.09692934,0.943294875,1.775180873,1.798594221,0.971435927
Group005Sample0003,Chapuis,P31_T3,20251105_sb_p31_t3,0.066596503,0.089788812,0.072569536,0.07846944,0.1376872,0.052627614,0.043154338,0.060802241,0.120805577,0.940011859,1.447099395,1.626640842,0.924812713
Group005Sample0004,Chapuis,P32_T3,20251105_sb_p32_t3,0.058142648,0.09327811,0.064857144,0.06598891,0.099444315,0.080447602,0.032203415,0.054784385,0.079022672,0.891739123,1.226071767,1.749563334,0.982849145