date,sample_ID,pH,pH_insitu
2025-06-08,20250608_kb_p1_t1,8.69028867657287,8.696993267373852
2025-06-08,20250608_kb_p2_t1,8.427632742416241,8.42877730336054
2025-06-08,20250608_kb_p3_t1,8.548898302720165,8.549424725588997
2025-06-08,20250608_kb_p4_t1,7.725980246996336,7.722969486243019
2025-06-08,20250608_kb_p5_t1,7.845172457779422,7.84403615347372
2025-06-08,20250608_kb_p6_t1,8.266111717600744,8.263547408921411
2025-06-08,20250608_kb_p7_t1,7.8730522221980195,7.877975399688443
2025-06-08,20250608_kb_p8_t1,7.727207038692802,7.717458710495937
2025-06-08,20250608_kb_p9_t1,7.684118314848339,7.679385828397847
2025-06-08,20250608_kb_p10_t1,7.637427518011751,7.631261631520551
2025-06-08,20250608_kb_p11_t1,7.64095423064312,7.639800764697632
2025-06-08,20250608_kb_p12_t1,7.698185401998514,7.704065362916057
2025-06-08,20250608_kb_p13_t1,7.90243954254505,7.899251433317363
2025-06-08,20250608_kb_p14_t1,7.570143346326104,7.568909522592808
2025-06-08,20250608_kb_p15_t1,8.241632780005524,8.238865969322765
2025-06-08,20250608_kb_ocn_t1,7.903384741885457,7.89102788910256
2025-06-08,20250608_kb_p1_t2,8.695885321184,8.701982554554274
2025-06-08,20250608_kb_p2_t2,8.475700410628018,8.475955291707683
2025-06-08,20250608_kb_p3_t2,8.587174456663126,8.5872861837591
2025-06-08,20250608_kb_p4_t2,7.681405404104607,7.674720973637472
2025-06-08,20250608_kb_p5_t2,7.853331551106417,7.857715005359879
2025-06-08,20250608_kb_p6_t2,8.284675751061831,8.28510336229747
2025-06-08,20250608_kb_p7_t2,7.870653882242342,7.8750719120241
2025-06-08,20250608_kb_p8_t2,7.737725577766052,7.732633382569909
2025-06-08,20250608_kb_p9_t2,7.624487210900386,7.622671642810184
2025-06-08,20250608_kb_p10_t2,7.58976326048491,7.584012912520542
2025-06-08,20250608_kb_p11_t2,7.535400030382224,7.537072065828617
2025-06-08,20250608_kb_p12_t2,7.688047002730451,7.697919130405736
2025-06-08,20250608_kb_p13_t2,7.918838479372001,7.912991141984642
2025-06-08,20250608_kb_p14_t2,7.543940512530583,7.540468211571527
2025-06-08,20250608_kb_p15_t2,8.255845089029652,8.265112784107185
2025-06-08,20250608_kb_ocn_t2,7.874055899139249,7.860226651095998
2025-06-08,20250608_kb_p1_t3,8.707145096018442,8.711711347764306
2025-06-08,20250608_kb_p2_t3,8.473070099033327,8.474855392657348
2025-06-08,20250608_kb_p3_t3,8.58584146669375,8.584308828822518
2025-06-08,20250608_kb_p4_t3,7.626081887739019,7.623366171385025
2025-06-08,20250608_kb_p5_t3,7.824479598771025,7.840437517409393
2025-06-08,20250608_kb_p6_t3,8.309833275014995,8.306041870721472
2025-06-08,20250608_kb_p7_t3,7.888020507484357,7.890337016323546
2025-06-08,20250608_kb_p8_t3,7.747578474468557,7.760252130132594
2025-06-08,20250608_kb_p9_t3,7.591978480519893,7.595482609247724
2025-06-08,20250608_kb_p10_t3,7.516646730689249,7.519080346068733
2025-06-08,20250608_kb_p11_t3,7.495412745455215,7.508652880515575
2025-06-08,20250608_kb_p12_t3,7.693328017339683,7.717265058606731
2025-06-08,20250608_kb_p13_t3,7.9329758066313305,7.938470424106985
2025-06-08,20250608_kb_p14_t3,7.499120624285199,7.514200372730038
2025-06-08,20250608_kb_p15_t3,8.223560588296488,8.233177978238489
2025-06-08,20250608_kb_ocn_t3,7.853243596949817,7.848599192662292
2025-06-22,20250622_sb_p16_t1,7.549952395644763,7.560686104524166
2025-06-22,20250622_sb_p17_t1,8.175365455396943,8.187786724045997
2025-06-22,20250622_sb_p18_t1,8.00316337425798,8.018635272045431
2025-06-22,20250622_sb_p19_t1,8.254710733481513,8.27031240262014
2025-06-22,20250622_sb_p20_t1,7.86099567198784,7.873144513980807
2025-06-22,20250622_sb_p21_t1,8.596836843241853,8.609798621284517
2025-06-22,20250622_sb_p22_t1,8.25521831229253,8.26989820278317
2025-06-22,20250622_sb_p23_t1,8.17588326414029,8.18839345605648
2025-06-22,20250622_sb_p24_t1,7.7064747360512005,7.7153713886838755
2025-06-22,20250622_sb_p25_t1,8.241488567848032,8.256263967367229
2025-06-22,20250622_sb_p26_t1,7.813316989894345,7.824966084299969
2025-06-22,20250622_sb_p27_t1,8.128543669974299,8.140841548723618
2025-06-22,20250622_sb_p28_t1,7.723881287520099,7.738178308380995
2025-06-22,20250622_sb_p29_t1,7.961429135869392,7.975387666686028
2025-06-22,20250622_sb_p30_t1,8.37791856888723,8.39606153566303
2025-06-22,20250622_sb_ocn_t1,7.916274957704328,7.912442801882419
2025-06-22,20250622_sb_p16_t2,7.46400219399696,7.474251276899867
2025-06-22,20250622_sb_p17_t2,7.988185915382032,8.001506942299917
2025-06-22,20250622_sb_p18_t2,7.908851657087936,7.9239896346432275
2025-06-22,20250622_sb_p19_t2,8.144372708240102,8.159112769078579
2025-06-22,20250622_sb_p20_t2,7.792031936720857,7.804836960455966
2025-06-22,20250622_sb_p21_t2,8.507244656556606,8.520731287088498
2025-06-22,20250622_sb_p22_t2,8.189273109781599,8.20349418368629
2025-06-22,20250622_sb_p23_t2,8.10374479551702,8.116848238034866
2025-06-22,20250622_sb_p24_t2,7.618859249984272,7.629753961001793
2025-06-22,20250622_sb_p25_t2,8.151550474140913,8.165342415148254
2025-06-22,20250622_sb_p26_t2,7.769521693266809,7.782741758158449
2025-06-22,20250622_sb_p27_t2,8.037524849824472,8.050151822622572
2025-06-22,20250622_sb_p28_t2,7.682132776230153,7.69483830558914
2025-06-22,20250622_sb_p29_t2,7.89376775332471,7.904838955500377
2025-06-22,20250622_sb_p30_t2,8.294033737400047,8.30895423913898
2025-06-22,20250622_sb_ocn_t2,7.874556224759749,7.869761368559267
2025-06-22,20250622_sb_p16_t3,7.400171979455102,7.4091746022827545
2025-06-22,20250622_sb_p17_t3,7.799578533002994,7.815878961049303
2025-06-22,20250622_sb_p18_t3,7.847005933699813,7.8628101849612735
2025-06-22,20250622_sb_p19_t3,8.042041153612066,8.063429613566766
2025-06-22,20250622_sb_p20_t3,7.743436124223253,7.75729281295058
2025-06-22,20250622_sb_p21_t3,8.476457875154173,8.494812573355999
2025-06-22,20250622_sb_p22_t3,8.154056643829197,8.176726109371346
2025-06-22,20250622_sb_p23_t3,8.04903235740701,8.068491979685163
2025-06-22,20250622_sb_p24_t3,7.614263189682625,7.632331322923695
2025-06-22,20250622_sb_p25_t3,8.134446311541238,8.16599726897762
2025-06-22,20250622_sb_p26_t3,7.737949740428321,7.767412818742023
2025-06-22,20250622_sb_p27_t3,7.962703876486403,7.991519533590543
2025-06-22,20250622_sb_p28_t3,7.673140476165721,7.6995328549648345
2025-06-22,20250622_sb_p29_t3,7.847817942359422,7.874879035099414
2025-06-22,20250622_sb_p30_t3,8.230470012806528,8.263750244915363
2025-06-22,20250622_sb_ocn_t3,7.854129081071347,7.86217187380678
2025-07-20,20250720_kb_p15_t1,7.917917252072467,7.925554021963304
2025-07-20,20250720_kb_p13_t1,7.825894233646388,7.831731509180302
2025-07-20,20250720_kb_p14_t1,7.682363073752191,7.685477991424326
2025-07-20,20250720_kb_p12_t1,7.680101963336126,7.6875339670021345
2025-07-20,20250720_kb_p10_t1,7.71239703980859,7.71474156931282
2025-07-20,20250720_kb_p9_t1,7.7194629397293975,7.723243634333093
2025-07-20,20250720_kb_p8_t1,7.717264114450981,7.723938500517515
2025-07-20,20250720_kb_p7_t1,7.842564505405207,7.852114712940149
2025-07-20,20250720_kb_p6_t1,8.052917603630835,8.05813983340119
2025-07-20,20250720_kb_p5_t1,7.835099366247087,7.8403543655994845
2025-07-20,20250720_kb_p4_t1,7.7178593036630705,7.722119095968207
2025-07-20,20250720_kb_ocn_t1,7.886296260836956,7.878137089038204
2025-07-20,20250720_kb_p3_t1,8.303789065046558,8.304026455117262
2025-07-20,20250720_kb_p2_t1,8.147384048966563,8.14802711390717
2025-07-20,20250720_kb_p1_t1,8.422442377228611,8.423746073568529
2025-07-20,20250720_kb_p11_t1,7.621918945437838,7.617146866862418
2025-07-20,20250720_kb_p15_t3,7.89475367222974,7.895042171937031
2025-07-20,20250720_kb_p13_t3,7.744924198854007,7.745376174240009
2025-07-20,20250720_kb_p14_t3,7.415688983828493,7.412250461673878
2025-07-20,20250720_kb_p12_t3,7.555074887098922,7.5548474861419725
2025-07-20,20250720_kb_p9_t3,7.5345425043723075,7.533326243165856
2025-07-20,20250720_kb_p8_t3,7.594910697421083,7.594787634233955
2025-07-20,20250720_kb_p7_t3,7.800357839006763,7.80157568596366
2025-07-20,20250720_kb_p6_t3,8.110003929229515,8.110285699343219
2025-07-20,20250720_kb_p5_t3,7.787630523265699,7.788739993883198
2025-07-20,20250720_kb_p4_t3,7.599751156817182,7.600382167824465
2025-07-20,20250720_kb_ocn_t3,7.832897416955007,7.821615828930061
2025-07-20,20250720_kb_p3_t3,8.371898694504953,8.372120970782536
2025-07-20,20250720_kb_p2_t3,8.188871356766724,8.190461813309033
2025-07-20,20250720_kb_p1_t3,8.508386238371784,8.509661042192294
2025-07-20,20250720_kb_p10_t3,7.502065691315818,7.5013647548785505
2025-07-20,20250720_kb_p11_t3,7.467076380541698,7.466695002884344
2025-07-26,20250726_kb_p7_t1,7.80983499751534,7.817399555475566
2025-07-26,20250726_kb_p6_t1,8.331832436791233,8.33833627585551
2025-07-26,20250726_kb_p5_t1,7.801869785719346,7.809605245731817
2025-07-26,20250726_kb_p4_t1,7.663714543070381,7.669979446907117
2025-07-26,20250726_kb_ocn_t1,7.800904027889518,7.791087205415621
2025-07-26,20250726_kb_p3_t1,8.508899925811464,8.515848911230439
2025-07-26,20250726_kb_p2_t1,8.373718336989327,8.384181212023833
2025-07-26,20250726_kb_p1_t1,8.619295414754646,8.628347108518625
2025-07-26,20250726_kb_p8_t1,7.724565232179095,7.738913195251528
2025-07-26,20250726_kb_p9_t1,7.659356036328536,7.6683416396939625
2025-07-26,20250726_kb_p10_t1,7.628304338041592,7.633492174072095
2025-07-26,20250726_kb_p11_t1,7.622646050174398,7.631860343217028
2025-07-26,20250726_kb_p12_t1,7.6946558603422694,7.708316570523003
2025-07-26,20250726_kb_p14_t1,7.568157600449439,7.577932138016097
2025-07-26,20250726_kb_p13_t1,7.786703098068842,7.80168402349805
2025-07-26,20250726_kb_p15_t1,8.11923663125613,8.141354836830274
2025-07-26,20250726_kb_p7_t2,8.005254087656885,8.024972609170002
2025-07-26,20250726_kb_p6_t2,8.369606169614496,8.385781212214832
2025-07-26,20250726_kb_p5_t2,8.010251941002547,8.025885801495738
2025-07-26,20250726_kb_p4_t2,7.916289131043426,7.931022252126477
2025-07-26,20250726_kb_ocn_t2,8.026996397562542,8.031212890593308
2025-07-26,20250726_kb_p3_t2,8.53098309235595,8.553126508629003
2025-07-26,20250726_kb_p2_t2,8.428198639196872,8.449516608129258
2025-07-26,20250726_kb_p1_t2,8.651197160017038,8.672345400064083
2025-07-26,20250726_kb_p8_t2,8.037356085997365,8.062378944608405
2025-07-26,20250726_kb_p9_t2,7.972614588097472,7.993700497727358
2025-07-26,20250726_kb_p10_t2,7.818422990223973,7.837807220108677
2025-07-26,20250726_kb_p11_t2,7.82757664441761,7.845539859806446
2025-07-26,20250726_kb_p12_t2,8.39973153185031,8.410736634456756
2025-07-26,20250726_kb_p14_t2,7.862396709844007,7.881667401311381
2025-07-26,20250726_kb_p13_t2,7.954412302236441,7.976421941639577
2025-07-26,20250726_kb_p15_t2,8.176961318999954,8.205588797597613
2025-07-26,20250726_kb_p7_t3,8.387822810738054,8.396051470960009
2025-07-26,20250726_kb_p6_t3,8.484386541300212,8.49554887739324
2025-07-26,20250726_kb_p5_t3,8.411194805865378,8.42633576496225
2025-07-26,20250726_kb_p4_t3,8.3231949267961909,8.336407608265535
2025-07-26,20250726_kb_ocn_t3,8.102223919055623,8.119849769918954
2025-07-26,20250726_kb_p3_t3,8.605659321787916,8.628305011502853
2025-07-26,20250726_kb_p2_t3,8.535687232856526,8.549579552505556
2025-07-26,20250726_kb_p1_t3,8.741010109437017,8.75064647254532
2025-07-26,20250726_kb_p8_t3,8.385687411525996,8.388751421840087
2025-07-26,20250726_kb_p9_t3,8.34236248052209,8.350569875870526
2025-07-26,20250726_kb_p10_t3,8.15276366646362,8.147467362365516
2025-07-26,20250726_kb_p11_t3,8.181347079756899,8.173158788801553
2025-07-26,20250726_kb_p12_t3,8.853422151076485,8.826727719961061
2025-07-26,20250726_kb_p14_t3,8.246853203952387,8.241860293901379
2025-07-26,20250726_kb_p13_t3,8.271739870116269,8.264699871887807
2025-07-26,20250726_kb_p15_t3,8.401326735238383,8.399447902539789
2025-11-05,20251105_sb_p28_t1,8.270323195148583,8.272323322093808
2025-11-05,20251105_sb_p29_t1,8.637758251253784,8.639104486256244
2025-11-05,20251105_sb_p26_t1,8.3487256061503,8.351548626465819
2025-11-05,20251105_sb_p25_t1,8.77371282577789,8.771826038070182
2025-11-05,20251105_sb_p24_t1,8.106631669074345,8.115703824026708
2025-11-05,20251105_sb_p23_t1,8.701766429536436,8.69861512393076
2025-11-05,20251105_sb_p32_t1,8.449790168630285,8.454472132087998
2025-11-05,20251105_sb_p22_t1,8.862046263720154,8.864190379720103
2025-11-05,20251105_sb_p21_t1,8.889685816051562,8.896063136342192
2025-11-05,20251105_sb_p31_t1,8.619455219101203,8.62782666699502
2025-11-05,20251105_sb_p20_t1,8.366177648180976,8.36682421703296
2025-11-05,20251105_sb_ocn_t1,8.055779031828582,8.050219586799853
2025-11-05,20251105_sb_p19_t1,8.757818017562707,8.763415183349965
2025-11-05,20251105_sb_p18_t1,8.517395002584292,8.525728448585532
2025-11-05,20251105_sb_p17_t1,9.263655828125371,9.261589699939961
2025-11-05,20251105_sb_p16_t1,8.191596227834813,8.205013934925855
2025-11-05,20251105_sb_p29_t2,8.521575700890413,8.523399013230785
2025-11-05,20251105_sb_p26_t2,8.2571516727689,8.260475076286658
2025-11-05,20251105_sb_p28_t2,8.212656963633068,8.21929296454529
2025-11-05,20251105_sb_p25_t2,8.694782583430545,8.696721683887784
2025-11-05,20251105_sb_p24_t2,8.012697317040889,8.023439819118149
2025-11-05,20251105_sb_p23_t2,8.649857260998104,8.652255050380454
2025-11-05,20251105_sb_p22_t2,8.810595753397745,8.813015602153552
2025-11-05,20251105_sb_p32_t2,8.398395104406582,8.402065406378957
2025-11-05,20251105_sb_p21_t2,8.832445437093735,8.840653522911062
2025-11-05,20251105_sb_p31_t2,8.57810740931338,8.589136050895066
2025-11-05,20251105_sb_p20_t2,8.27506350809876,8.278967849121097
2025-11-05,20251105_sb_ocn_t2,8.009655146643471,8.00387780762456
2025-11-05,20251105_sb_p19_t2,8.712878865313954,8.722536514708258
2025-11-05,20251105_sb_p18_t2,8.423105719294014,8.432880313985912
2025-11-05,20251105_sb_p17_t2,9.134794964908213,9.139315728452427
2025-11-05,20251105_sb_p16_t2,8.046381155120603,8.05812237035696
2025-11-05,20251105_sb_p29_t3,8.425857711354316,8.431197468063424
2025-11-05,20251105_sb_p26_t3,8.140584839620674,8.15032010130869
2025-11-05,20251105_sb_p28_t3,8.119284929229675,8.133326052177656
2025-11-05,20251105_sb_p25_t3,8.617660690463477,8.623528569776168
2025-11-05,20251105_sb_p24_t3,7.909754633412095,7.923672644850133
2025-11-05,20251105_sb_p23_t3,8.586662086527685,8.592807982593571
2025-11-05,20251105_sb_p22_t3,8.750670900471713,8.761006403741016
2025-11-05,20251105_sb_p32_t3,8.320680156619359,8.327799968714025
2025-11-05,20251105_sb_p21_t3,8.756619033895642,8.767983196367581
2025-11-05,20251105_sb_p31_t3,8.52045989611561,8.535540247083818
2025-11-05,20251105_sb_p20_t3,8.183538700404835,8.188836465225325
2025-11-05,20251105_sb_ocn_t3,7.9964066938324,7.991851613333457
2025-11-05,20251105_sb_p19_t3,8.686311250924348,8.701306855488518
2025-11-05,20251105_sb_p18_t3,8.346083045121295,8.363038436172058
2025-11-05,20251105_sb_p17_t3,9.055001325431764,9.068256577776378
2025-11-05,20251105_sb_p16_t3,7.964404217732423,7.981939905169128
