site,pool_number,substrate,latitude,longitude,tide_height,perimeter_m,surface_area_m2,depth,pool_volume,mean_comm_comp_time,notes
Kaihalulu Beach,1,limestone,21.706115,-157.994858,,1.55,0.27870912,,,1,
Kaihalulu Beach,2,limestone,21.705553,-157.995067,,2.04,0.39225728,,,2,
Kaihalulu Beach,3,limestone,21.705552,-157.995103,,3.17,0.81548224,,,5,
Kaihalulu Beach,4,limestone,21.705523,-157.995102,,6.47,1.17677184,,,7.5,
Kaihalulu Beach,5,limestone,21.705528,-157.995113,,2.83,0.516128,,,3,
Kaihalulu Beach,6,limestone,21.705505,-157.995138,,4.01,0.73290176,,,3,
Kaihalulu Beach,7,limestone,21.705517,-157.995143,,5.78,0.62967616,,,8,
Kaihalulu Beach,8,limestone,21.705533,-157.995153,,4.95,1.09419136,,,7,
Kaihalulu Beach,9,limestone,21.705573,-157.995172,,6.15,1.04257856,,,5,
Kaihalulu Beach,10,limestone,21.705582,-157.995178,,2.73,0.5677408,,,4,
Kaihalulu Beach,11,limestone,21.705597,-157.995187,0,4.21,0.76386944,,,5,
Kaihalulu Beach,12,limestone,21.705602,-157.995195,,2.25,0.3096768,,,2,
Kaihalulu Beach,13,limestone,21.705583,-157.995257,,2.01,0.39225728,,,3,
Kaihalulu Beach,14,limestone,21.705622,-157.995250,,3.75,0.6709664,,,8,
Kaihalulu Beach,15,limestone,21.705572,-157.995253,,6.09,1.10451392,,,8,
Sandy Beach,16,basalt,21.287073,-157.668473,<1.1,4.26,0.52645056,,,10,inflow at 0.5ft
Sandy Beach,17,basalt,21.287047,-157.668515,>1.1,8.82,2.28644704,,,8,
Sandy Beach,18,basalt,21.286973,-157.668580,">0.4, <1.1",4.56,0.66064384,,,8,
Sandy Beach,19,basalt,21.286913,-157.668663,>1.1,7.31,0.80515968,,,7,
Sandy Beach,20,basalt,21.286873,-157.668637,>0.5,2.66,0.56257952,,,8,
Sandy Beach,21,basalt,21.286770,-157.668740,,7.17,0.65032128,,,#N/A,
Sandy Beach,22,basalt,21.286598,-157.668870,,9.51,1.69289984,,,#N/A,
Sandy Beach,23,basalt,21.286595,-157.668967,>1.1,11.36,2.48773696,,,18,
Sandy Beach,24,basalt,21.286473,-157.669003,1,5.66,0.79483712,,,16,inflow at 1ft
Sandy Beach,25,basalt,21.286472,-157.669087,>1.2,6.16,1.42451328,,,15,
Sandy Beach,26,basalt,21.286368,-157.669087,1.2,5.21,0.8774176,,,12,"was replaced last minute, is now by pool 29"
Sandy Beach,27,basalt,21.286397,-157.669040,,5.25,1.35225536,,,11,"was replaced last minute, is now by pool 30"
Sandy Beach,28,basalt,21.286368,-157.669087,0.9,4.67,0.84644992,,,14,
Sandy Beach,29,basalt,21.286390,-157.669105,1.4,7.97,0.91870784,,,15,
Sandy Beach,30,basalt,21.286352,-157.669187,>1.4,7.3,NA,,,23,
Sandy Beach,31,basalt,,,,,1.3419328,,,,
Sandy Beach,32,basalt,,,,,1.7032224,,,,