tris_date,date,TTris,mVTris,tris_bottle
2025/06/07,2025/06/08,31.552,-57.2,T44
2025/06/07,2025/06/08,30.167,-58.1,T44
2025/06/07,2025/06/08,29.059,-59.6,T44
2025/06/07,2025/06/08,28.168,-60.9,T44
2025/06/07,2025/06/08,27.145,-62.3,T44
2025/06/07,2025/06/08,26.234,-63.6,T44
2025/06/07,2025/06/08,22.194,-69.0,T44
2025/06/07,2025/06/08,21.263,-70.1,T44
2025/06/07,2025/06/08,20.264,-71.5,T44
2025/06/07,2025/06/08,19.294,-73.0,T44
2025/06/07,2025/06/08,23.122,-68.8,T44
2025/06/07,2025/06/08,24.085,-67.8,T44
2025/06/07,2025/06/08,25.146,-66.1,T44
2025/06/07,2025/06/08,25.305,-65.8,T44
2025/06/21,2025/06/22,34.310,-53.6,T44
2025/06/21,2025/06/22,33.016,-55.1,T44
2025/06/21,2025/06/22,31.256,-57.7,T44
2025/06/21,2025/06/22,30.156,-59.3,T44
2025/06/21,2025/06/22,29.297,-60.6,T44
2025/06/21,2025/06/22,28.272,-62.1,T44
2025/06/21,2025/06/22,27.210,-63.4,T44
2025/06/21,2025/06/22,26.226,-64.7,T44
2025/06/21,2025/06/22,25.195,66.0,T44
2025/06/21,2025/06/22,24.329,-67.2,T44
2025/06/21,2025/06/22,23.366,-68.6,T44
2025/06/21,2025/06/22,22.191,-70.0,T44
2025/06/21,2025/06/22,21.282,-71.9,T44
2025/06/21,2025/06/22,20.291,-73.2,T44
2025/06/21,2025/06/22,19.215,-74.7,T44
2025/07/18,2025/07/20,32.944,-54.9,T44
2025/07/18,2025/07/20,31.770,-56.3,T44
2025/07/18,2025/07/20,30.694,-57.7,T44
2025/07/18,2025/07/20,30.018,-58.6,T44
2025/07/18,2025/07/20,29.057,-59.8,T44
2025/07/18,2025/07/20,28.116,-61.2,T44
2025/07/18,2025/07/20,26.969,-62.8,T44
2025/07/18,2025/07/20,26.032,-64.1,T44
2025/07/18,2025/07/20,24.873,-65.7,T44
2025/07/18,2025/07/20,23.932,-67.0,T44
2025/07/18,2025/07/20,22.686,-68.7,T44
2025/07/18,2025/07/20,21.906,-69.7,T44
2025/07/18,2025/07/20,20.976,-71.1,T44
2025/07/18,2025/07/20,20.160,-72.3,T44
2025/07/18,2025/07/20,19.516,-73.8,T44
2025/07/25,2025/07/26,38.665,-46.9,T44
2025/07/25,2025/07/26,35.216,-51.5,T44
2025/07/25,2025/07/26,34.337,-52.6,T44
2025/07/25,2025/07/26,33.046,-54.2,T44
2025/07/25,2025/07/26,32.391,-55.2,T44
2025/07/25,2025/07/26,31.306,-56.6,T44
2025/07/25,2025/07/26,30.302,-58.1,T44
2025/07/25,2025/07/26,29.363,-59.3,T44
2025/07/25,2025/07/26,28.298,-60.8,T44
2025/07/25,2025/07/26,27.430,-62.0,T44
2025/07/25,2025/07/26,26.391,-63.5,T44
2025/07/25,2025/07/26,25.363,-65.1,T44
2025/07/25,2025/07/26,24.100,-66.4,T44
2025/07/25,2025/07/26,23.405,-67.5,T44
2025/07/25,2025/07/26,22.383,-68.9,T44
2025/07/25,2025/07/26,21.324,-70.3,T44
2025/07/25,2025/07/26,20.337,-71.7,T44
2025/07/25,2025/07/26,19.579,-73.1,T44
2025/08/08,2025/08/09,37.300,-49.6,T44
2025/08/08,2025/08/09,36.268,-50.4,T44
2025/08/08,2025/08/09,34.967,-52.0,T44
2025/08/08,2025/08/09,34.153,-53.1,T44
2025/08/08,2025/08/09,33.360,-54.2,T44
2025/08/08,2025/08/09,32.324,-55.5,T44
2025/08/08,2025/08/09,31.258,-56.9,T44
2025/08/08,2025/08/09,30.304,-58.3,T44
2025/08/08,2025/08/09,29.353,-59.6,T44
2025/08/08,2025/08/09,28.264,-61.0,T44
2025/08/08,2025/08/09,27.430,-62.3,T44
2025/08/08,2025/08/09,26.408,-63.7,T44
2025/08/08,2025/08/09,25.411,-65.1,T44
2025/08/08,2025/08/09,24.427,-66.5,T44
2025/08/08,2025/08/09,23.240,-68.0,T44
2025/08/08,2025/08/09,21.985,-69.4,T44
2025/08/08,2025/08/09,21.197,-70.5,T44